time,cases,7_avg
Jul 18 2021,28341,35254
Jul 19 2021,45194,37529
Jul 20 2021,51104,39802
Jul 21 2021,61556,43098
Jul 22 2021,71874,47550
Jul 23 2021,69752,51448
Jul 24 2021,53986,54543
Jul 25 2021,43523,56712
Jul 26 2021,71430,60460
Jul 27 2021,86169,65470
Jul 28 2021,89594,69475
Jul 29 2021,99701,73450
Jul 30 2021,105144,78506
Jul 31 2021,81137,82385
Aug  1 2021,61932,85015
Aug  2 2021,102590,89466
Aug  3 2021,110719,92973
Aug  4 2021,127757,98425
Aug  5 2021,128777,102579
Aug  6 2021,126607,105645
Aug  7 2021,120848,111318
Aug  8 2021,97552,116407
Aug  9 2021,93500,115108
Aug 10 2021,136257,118756
Aug 11 2021,144557,121156
Aug 12 2021,152322,124520
Aug 13 2021,147291,127475
Aug 14 2021,140680,130308
Aug 15 2021,111398,132286
Aug 16 2021,109461,134566
Aug 17 2021,150820,136647
Aug 18 2021,167896,139981
Aug 19 2021,175682,143318
Aug 20 2021,167489,146203
Aug 21 2021,144799,146792
Aug 22 2021,127764,149130
Aug 23 2021,116531,150140
Aug 24 2021,163469,151947
Aug 25 2021,178072,153400
Aug 26 2021,187239,155051
Aug 27 2021,182963,157262
Aug 28 2021,153224,158466
Aug 29 2021,118942,157205
Aug 30 2021,133442,159621
Aug 31 2021,176981,161551
Sep  1 2021,198857,164521
Sep  2 2021,182206,163802
Sep  3 2021,183556,163886
Sep  4 2021,144499,162640
Sep  5 2021,125551,163584
Sep  6 2021,109515,160166
Sep  7 2021,117784,151709
Sep  8 2021,169956,147581
Sep  9 2021,184629,147927
Sep 10 2021,171780,146244
Sep 11 2021,155334,147792
Sep 12 2021,116715,146530
Sep 13 2021,112365,146937
Sep 14 2021,162470,153321
Sep 15 2021,163138,152347
Sep 16 2021,167550,149907
Sep 17 2021,157901,147924
Sep 18 2021,125442,143654
Sep 19 2021,97853,140959
Sep 20 2021,92530,138126
Sep 21 2021,135075,134212
Sep 22 2021,132570,129845
Sep 23 2021,136325,125385
Sep 24 2021,133300,121870
Sep 25 2021,98279,117990
Sep 26 2021,77724,115114
Sep 27 2021,101754,116432
Sep 28 2021,116619,113795
Sep 29 2021,116575,111510
Sep 30 2021,122980,109604
Oct  1 2021,121206,107876
Oct  2 2021,83801,105808
Oct  3 2021,68490,104489
Oct  4 2021,86114,102255
Oct  5 2021,104390,100508
Oct  6 2021,106948,99132
Oct  7 2021,112542,97641
Oct  8 2021,107813,95728
Oct  9 2021,71754,94007
Oct 10 2021,60224,92826
Oct 11 2021,74224,91127
Oct 12 2021,89593,89014
Oct 13 2021,96047,87456
Oct 14 2021,96506,85165
Oct 15 2021,90778,82732
Oct 16 2021,64121,81641
Oct 17 2021,49454,80103
Oct 18 2021,69277,79396
Oct 19 2021,80506,78098
Oct 20 2021,76168,75258
Oct 21 2021,87269,73939
Oct 22 2021,81450,72606
Oct 23 2021,36505,68661
Oct 24 2021,28145,65617
Oct 25 2021,84080,67731
Oct 26 2021,102037,70807
Oct 27 2021,83836,71903
Oct 28 2021,81675,71104
Oct 29 2021,88249,72075
Oct 30 2021,34455,71782
Oct 31 2021,25442,71396
Nov  1 2021,109746,75062
Nov  2 2021,74281,71097
Nov  3 2021,78884,70390
Nov  4 2021,88473,71361
Nov  5 2021,89605,71555
Nov  6 2021,35476,71701
Nov  7 2021,31362,72546
Nov  8 2021,116544,73517
Nov  9 2021,82635,74711
Nov 10 2021,91976,76581
Nov 11 2021,73245,74406
Nov 12 2021,122735,79139
Nov 13 2021,53573,81724
Nov 14 2021,33611,82045
Nov 15 2021,133534,84472
Nov 16 2021,98332,86715
Nov 17 2021,105025,88579
Nov 18 2021,113120,94275
Nov 19 2021,113653,92978
Nov 20 2021,45742,91859
Nov 21 2021,38266,92524
Nov 22 2021,145390,94218
Nov 23 2021,100814,94572
Nov 24 2021,106534,94788
Nov 25 2021,71990,88912
Nov 26 2021,81693,84347
Nov 27 2021,51811,85214
Nov 28 2021,56485,87816
Nov 29 2021,94268,80513
Nov 30 2021,120911,83384
Dec  1 2021,133580,87248
Dec  2 2021,144108,97550
Dec  3 2021,151702,107552
Dec  4 2021,67359,109773
Dec  5 2021,55425,109621
Dec  6 2021,183757,122406
Dec  7 2021,126247,123168
Dec  8 2021,129999,122656
Dec  9 2021,137522,121715
Dec 10 2021,134244,119221
Dec 11 2021,64120,118759
Dec 12 2021,58246,119162
Dec 13 2021,186731,119587
Dec 14 2021,124561,119346
Dec 15 2021,146619,121720
Dec 16 2021,162169,125241
Dec 17 2021,160737,129026
Dec 18 2021,89228,132613
Dec 19 2021,104955,139285
Dec 20 2021,266479,150678
Dec 21 2021,207798,162569
Dec 22 2021,243531,176413
Dec 23 2021,280019,193249
Dec 24 2021,241106,204730
Dec 25 2021,132212,210871
Dec 26 2021,217453,226942
Dec 27 2021,466306,255489
Dec 28 2021,401146,283110
Dec 29 2021,488470,318101
Dec 30 2021,602317,364144
Dec 31 2021,466642,396363
Jan  1 2022,300944,420468
Jan  2 2022,415532,448765
Jan  3 2022,909602,512093
Jan  4 2022,735187,559813
Jan  5 2022,720563,592969
Jan  6 2022,810163,622661
Jan  7 2022,862137,679161
Jan  8 2022,444273,699636
Jan  9 2022,490757,710383
Jan 10 2022,1259946,760432
Jan 11 2022,814319,771736
Jan 12 2022,863393,792141
Jan 13 2022,899960,804969
Jan 14 2022,846749,802771
Jan 15 2022,470875,806571
Jan 16 2022,420606,796549
Jan 17 2022,966183,754583
Jan 18 2022,860707,761210
Jan 19 2022,785962,750148
Jan 20 2022,777068,732592
Jan 21 2022,777204,722657
Jan 22 2022,334235,703137
Jan 23 2022,318923,688611
Jan 24 2022,1011552,695093
Jan 25 2022,499652,643513
Jan 26 2022,547048,609383
Jan 27 2022,572261,580125
Jan 28 2022,525369,544148
Jan 29 2022,223260,528295
Jan 30 2022,160241,505626
Jan 31 2022,574778,443229
Feb  1 2022,299238,414599
Feb  2 2022,305737,380126
Feb  3 2022,351487,348587
Feb  4 2022,268280,311860
Feb  5 2022,106008,295109
Feb  6 2022,99140,286381
Feb  7 2022,295476,246480
Feb  8 2022,197904,232004
Feb  9 2022,196957,216464
Feb 10 2022,167826,190227
Feb 11 2022,155337,174092
Feb 12 2022,68761,168771
Feb 13 2022,48987,161606
Feb 14 2022,174328,144300
